hcpcs_code,state,code_category,avg_payment,p25_payment,p50_payment,p75_payment,p90_payment,p75_p25_spread,p90_p50_ratio,provider_count,total_claims
99215,MD,Office Visit,114.74,80.44,113.42,154,181.21,73.56,1.6,3087,97978
99215,MN,Office Visit,56.68,37.78,51.77,70.91,81.58,33.13,1.58,81,1474
99215,HI,Office Visit,76.7,52.04,72.5,107.26,114.47,55.22,1.58,179,4734
99213,NJ,Office Visit,31.69,21.43,31.48,40.74,49.64,19.31,1.58,65802,3585118
99213,NM,Office Visit,74.43,55.48,69.71,101.26,110.19,45.78,1.58,1922,45066
99215,TN,Office Visit,39.37,22.95,37.63,51.86,59.28,28.91,1.58,871,22988
99283,NC,ED Code,44.48,38.5,39.86,48.27,62.42,9.77,1.57,807,23479
99213,KS,Office Visit,31.35,21.04,29.18,34.85,45.58,13.81,1.56,1190,33241
99215,ME,Office Visit,54.09,42.59,48.63,64.29,75.8,21.7,1.56,115,2340
99213,NH,Office Visit,47.33,39.16,47.69,57.62,74.52,18.46,1.56,534,10465
99215,WA,Office Visit,59.58,49.41,56.19,69.04,86.87,19.63,1.55,145,3248
99214,MD,Office Visit,80.91,55.61,84.39,109.91,130.91,54.3,1.55,25158,951482
99213,WA,Office Visit,36.79,22.18,39.17,48.74,60.48,26.56,1.54,5122,129128
99215,VA,Office Visit,83.49,63.85,80.47,103.73,123.97,39.88,1.54,1037,22511
99284,OR,ED Code,62.55,37.78,58.41,85.23,89.91,47.45,1.54,49,847
99214,RI,Office Visit,78.89,64.17,72.45,93.13,111.17,28.96,1.53,26394,764285
99214,OR,Office Visit,70.53,51.57,72.56,94.17,111.18,42.6,1.53,2518,77301
99213,RI,Office Visit,54.32,45.99,49.75,60.57,75.7,14.58,1.52,26486,829640
99215,NJ,Office Visit,52.18,28.74,56.16,73.13,85.57,44.39,1.52,1525,47928
99284,CT,ED Code,113.2,62.48,76.83,90.95,116.33,28.47,1.51,2437,62544
99214,NM,Office Visit,103.52,83.28,98.33,137.58,148.18,54.3,1.51,2047,53803
99215,OH,Office Visit,64.67,47.11,63.64,91.29,96.2,44.18,1.51,1150,27883
99214,AR,Office Visit,45.3,33.14,46.24,58.54,69.18,25.4,1.5,12961,452982
99213,IN,Office Visit,44.83,33.24,45.35,56.42,68.24,23.18,1.5,16537,748204
99213,VT,Office Visit,56.5,45.92,55.01,66.63,82.19,20.71,1.49,978,26107
99214,DE,Office Visit,64.74,36.42,68.39,92.45,101.9,56.03,1.49,1192,28809
99213,PA,Office Visit,34.29,27.43,33.66,38.29,49.95,10.86,1.48,225269,7655858
99215,MO,Office Visit,62.21,54.35,59.93,64.48,88.76,10.13,1.48,919,19973
99213,AL,Office Visit,38.02,23.11,43.89,55.26,64.95,32.15,1.48,4116,208269
99213,MS,Office Visit,42.49,26.62,45.63,59.2,66.88,32.58,1.47,9808,404011
99215,IL,Office Visit,56.35,43.91,54.21,65.1,79.71,21.19,1.47,38501,823014
99214,AL,Office Visit,49.31,0,59.88,77.32,88.23,77.32,1.47,5651,242162
99213,NE,Office Visit,45.54,36.72,44.3,54.49,64.48,17.77,1.46,1405,40826
99283,VA,ED Code,46.38,37.27,42.84,58.54,62.32,21.27,1.45,241,5192
99215,TX,Office Visit,63.11,46.94,64.49,74.39,93.17,27.45,1.44,2909,89637
99213,GA,Office Visit,47.68,34.61,50.15,63.78,72.34,29.17,1.44,5827,251567
99213,MI,Office Visit,53.76,44.75,53.42,68.08,76.92,23.33,1.44,13974,816656
99284,NV,ED Code,68.32,64.76,68.51,79.33,98.42,14.57,1.44,588,18871
99214,IA,Office Visit,57.2,45.27,57.13,69.4,81.52,24.13,1.43,5960,172596
99214,ND,Office Visit,62.94,46.52,63.1,77.95,90.14,31.43,1.43,604,18334
99283,MD,ED Code,54.2,37.65,39.86,42.98,56.65,5.33,1.42,290,5397
99283,FL,ED Code,49.23,38.39,39.86,49.16,56.65,10.77,1.42,434,9495
99285,MD,ED Code,111.73,91.23,101.23,118.78,143.72,27.55,1.42,1235,37219
99215,WI,Office Visit,56.31,43.92,57.36,69.28,81.54,25.36,1.42,1577,42113
